Taxon,Percen_abund
Skeletonema spp.,36.46272484676278
Chaetoceros spp.,14.609568789598784
Skeletonema costatum,6.209930819093845
Chaetoceros socialis,5.856717342879385
Cryptophyceae,4.511206389791795
Nitzschia delicatissima complex,3.1104560938408663
Chrysochromulina spp.,2.8592345402871193
Thalassiosira spp.,2.753906501520025
Plagioselmis spp.,2.0311735927812844
Cyclotella spp.,1.7066943539619805
Chaetoceros curvisetus,1.3211973258379643
Bacillariophyceae,0.9871914643295265
Chaetoceros neglectus,0.8915275794381224
Pseudo-nitzschia spp.,0.8271695124760394
Leptocylindrus danicus,0.7760222929612788
Cylindrotheca closterium,0.7552119303856866
Thalassionema nitzschioides,0.7238651114812317
Coccolithophyceae,0.6548114651484399
Leptocylindrus minimus,0.6489115994467912
Leptocylindrus spp.,0.6241824472256627
Gymnodinium spp.,0.6221480789842257
Cerataulina pelagica,0.6040664881028059
Chaetoceros affinis,0.5711008680715645
Dinoflagellata,0.47586640778180767
Heterocapsa rotundata,0.4521963027145817
Heterocapsa spp.,0.41414650632718647
Dactyliosolen fragilissimus,0.39556639187386405
Asterionellopsis glacialis,0.36083775105326665
Nitzschia seriata complex,0.29971586455865395
Pyramimonadophyceae,0.2983869631637587
Chaetoceros simplex,0.2919335115815274
Chaetoceros wighamii,0.2717667606743078
Gyrodinium spp.,0.2626032662598396
Bacteriastrum spp.,0.2556551252798253
Dinophyceae,0.23649423385621163
Pseudo-nitzschia delicatissima,0.22625708068972464
Mediophyceae,0.21496593663969124
Chaetoceros lorenzianus,0.2144990548517426
Flagellates,0.18905922320618218
