,NordAdr,SouthAdr,Ion,SouthTyr,Lig,WestMed
Bacillariophyceae,.597,.154,.053,.078,.150,.191
Cerataulina.pelagica,.583,.315,.148,.073,.084,.056
Chaetoceros.curvisetus,.544,.151,.080,.101,.149,.015
Chaetoceros.spp.,.791,.068,.127,.062,.071,.026
Coccolithophyceae,.061,.254,.149,.153,.211,.559
Commation.cryoporinum,.000,.000,.000,.144,.005,.565
Cylindrotheca.closterium,.658,.119,.159,.123,.114,.256
Cymbomonas.spp.,.000,.000,.009,.200,.003,.671
Dactyliosolen.fragilissimus,.672,.112,.213,.207,.174,.058
Dinoflagellata.incertae.sedis,.315,.130,.264,.368,.116,.629
Diplopsalis.spp.,.509,.127,.111,.028,.037,.014
Gymnodinium.spp.,.590,.347,.360,.138,.137,.229
Gyrodinium.biconicum,.000,.000,.000,.162,.000,.621
Gyrodinium.flagellare,.068,.000,.021,.124,.000,.594
Gyrodinium.spp.,.540,.081,.074,.154,.061,.395
Leptocylindrus.spp.,.545,.046,.073,.062,.011,.005
Pachysphaera.spp.,.004,.000,.011,.159,.000,.600
Pleurosigma.spp.,.563,.209,.043,.043,.029,.009
Proboscia.alata,.356,.596,.281,.130,.180,.173
Prorocentrum.micans,.636,.280,.107,.111,.088,.107
Protoperidinium.spp.,.509,.145,.114,.121,.077,.143
Pseudo.nitzschia.spp.,.688,.190,.202,.296,.156,.060
Skeletonema.spp.,.548,.056,.034,.002,.001,.000
Telonema.subtile,.000,.000,.005,.224,.005,.553
Thalassionema.nitzschioides,.653,.335,.103,.126,.102,.151
Thalassiosira.spp.,.548,.061,.025,.009,.002,.005
