Taxon,Num_cell_l
Gymnodinium spp.,1380
Proboscia alata,1292
Chaetoceros spp.,1194
Dinoflagellata,1173
Cylindrotheca closterium,1114
Thalassionema nitzschioides,1041
Cryptophyceae,1011
Dactyliosolen fragilissimus,990
Navicula spp.,971
Bacillariophyceae,931
Leptocylindrus danicus,838
Cerataulina pelagica,821
Dinophyceae,806
Gyrodinium spp.,801
Prorocentrum micans,793
Guinardia striata,793
Nitzschia delicatissima complex,757
Gyrodinium fusiforme,755
Ceratium furca,743
Coccolithophyceae,647
Torodinium robustum,641
Heterocapsa spp.,638
Hemiaulus hauckii,633
Scrippsiella trochoidea,628
Protoperidinium spp.,605
Pseudo-nitzschia spp.,573
Chaetoceros curvisetus,549
Chaetoceros decipiens,527
Leucocryptos spp.,526
Dictyocha fibula,525
Nitzschia spp.,497
Oxytoxum variabile,458
Pleurosigma spp.,440
Asterionellopsis glacialis,438
Scrippsiella spp.,436
Prorocentrum spp.,430
Leptocylindrus minimus,427
Thalassionema spp.,421
Chaetoceros peruvianus,418
